V1, V2
760,1310
760,1564
761,1881
761,1472
762,1482
762,1133
763,3067
763,1695
763,1089
763,3067
763,2275
763,2714
763,2240
763,2201
763,3398
763,2714
763,2816
763,1473
763,1306
763,1193
763,1162
764,3232
764,1769
764,1002
764,1864
765,3707
766,1855
768,3057
768,1521
769,1298
771,1187
774,3113
774,2142
774,1056
779,1331
779,1341
780,2569
780,1209
782,2957
784,2957
786,1808
787,1781
789,2957
792,1865
793,2957
794,2860
794,3613
794,1154
795,1781
795,2957
796,1160
796,1248
796,1334
796,3494
796,1650
798,1236
799,1224
800,3552
800,1205
802,1264
805,1575
805,1519
806,1342
806,1858
809,1242
810,1712
812,1811
813,3434
813,1349
813,1349
814,2885
814,1428
814,1379
814,1113
815,3053
815,3454
815,2772
815,1595
815,3454
815,1595
815,2772
816,1606
816,1606
816,3573
823,3232
825,1707
827,2569
828,1329
829,1649
831,1261
833,3470
833,3611
834,3232
836,1134
841,1116
841,2374
843,3272
844,3251
844,3528
844,3251
844,3489
844,1453
844,3742
844,3528
844,3290
844,3561
844,1451
844,1512
844,3459
844,2120
844,2801
844,3072
844,3702
844,3459
844,2801
844,1512
844,2159
845,3053
845,3454
845,2772
845,1595
845,1018
845,1595
845,3454
845,1595
845,2772
847,1199
849,1720
850,1008
850,1243
850,1670
850,1262
854,1635
855,1351
855,3880
855,2902
855,1328
855,1421
855,1809
856,1635
858,1143
858,1359
858,1367
860,1185
862,1031
863,1007
865,2568
865,3620
866,1412
867,1244
868,1019
869,1766
869,1528
869,1150
869,1528
870,1213
872,1747
872,1102
872,1819
872,1214
872,1831
872,1102
872,1613
872,1102
873,1159
879,1636
885,3781
885,1034
889,1293
889,2694
889,1798
889,3781
891,1636
892,3627
892,1813
897,3445
904,1861
906,2568
906,3620
909,1703
909,1029
913,1611
916,1190
916,1514
916,1838
916,1203
916,1861
917,1492
918,1784
919,1101
919,1156
919,1215
919,1147
919,1746
919,1215
919,1101
920,1101
920,1156
920,1215
920,1147
920,1746
920,1215
920,1101
925,1594
925,1380
925,1491
925,1594
925,1543
925,1284
925,2377
925,1515
927,1729
927,2157
928,1971
928,1583
928,1183
928,1779
930,1484
931,1073
931,3454
932,1015
933,1108
936,1842
936,1418
936,1273
936,1273
936,1284
936,1353
937,2521
937,2697
937,1326
937,2768
937,1039
937,2521
938,2528
938,2528
938,3850
942,1101
942,1156
942,1215
942,1112
942,1746
942,1215
942,1101
945,1385
946,1716
946,1073
946,3454
946,1004
947,1449
947,1818
947,1668
947,2372
949,1215
949,1147
949,1746
949,1215
949,1101
951,1073
951,3454
952,1586
952,1274
953,1746
953,1147
953,1746
953,1215
953,1101
954,1685
955,1582
956,1443
957,1006
959,1635
960,1351
960,3880
960,2902
960,1328
960,1421
960,1809
961,2159
961,3086
961,2598
961,1633
961,3594
961,1982
961,1230
962,1097
965,1351
965,3880
965,2902
965,1328
965,1421
965,1809
966,1860
967,2067
967,2805
967,1217
967,1062
968,2068
973,1477
974,1370
974,1730
974,1736
975,2957
977,1084
979,3727
979,1149
979,1578
979,1663
979,1579
979,2394
980,1093
980,1356
981,3267
981,1191
981,1501
981,1191
981,1501
982,3267
982,1191
982,1501
982,1191
982,1501
984,1493
986,3531
986,3886
987,1400
988,1305
988,3177
988,2074
988,2074
988,2573
988,2074
988,1508
989,1532
989,1534
989,1413
990,1506
990,1546
990,1546
991,1507
992,3742
992,3489
992,1259
992,3072
992,1309
992,2232
992,3083
992,2232
992,3437
992,3528
992,1371
992,3561
992,3702
992,1512
992,3486
992,2159
994,1667
994,3162
994,2801
996,1661
997,1401
998,3611
998,1692
1000,1281
1000,1110
1000,1568
1000,3351
1000,1339
1001,2569
1001,2569
1001,2609
1001,3315
1001,3168
1001,2946
1001,2143
1001,2569
1003,3284
1003,2743
1003,3547
1003,3895
1004,3605
1004,2592
1004,1959
1006,2688
1006,2130
1007,3610
1008,2938
1008,3731
1008,2949
1008,2938
1012,2023
1012,2114
1015,2621
1015,1897
1015,1897
1015,3440
1018,2274
1018,3667
1018,3454
1018,2814
1019,3161
1019,3885
1019,2645
1019,3753
1019,2272
1019,3013
1019,3885
1019,2645
1020,2174
1023,3594
1023,2632
1023,2203
1023,3162
1023,3843
1026,2754
1031,2360
1031,3047
1031,2785
1032,2935
1032,2094
1032,3449
1032,3117
1034,3854
1034,2199
1034,3781
1034,3084
1034,3813
1034,3181
1039,3395
1039,2028
1039,2523
1039,3712
1046,2266
1046,2126
1046,3811
1047,2558
1047,2036
1047,2117
1047,2117
1047,2984
1047,3265
1047,2541
1047,3534
1047,2835
1047,3679
1047,3151
1047,3836
1047,3836
1048,3789
1048,2068
1050,2088
1050,3719
1050,2756
1050,2258
1050,2065
1050,2781
1050,2233
1050,3770
1050,2731
1053,2305
