id, ECLI, rechtbank, rechtsgebied, subrechtsgebied
826, ECLI:NL:RVS:2021:1994, Bestuursrecht, Omgevingsrecht
827, ECLI:NL:PHR:2023:1064, Bestuursrecht, Belastingrecht
828, ECLI:NL:RVS:2015:1201, Bestuursrecht, Vreemdelingenrecht
829, ECLI:NL:HR:2017:442, Bestuursrecht, Belastingrecht
830, ECLI:NL:CRVB:2024:635, Bestuursrecht, Socialezekerheidsrecht
831, ECLI:NL:RVS:2018:1739, Bestuursrecht, Vreemdelingenrecht
832, ECLI:NL:HR:1992:ZC0649, Civiel recht, 
833, ECLI:NL:RVS:2022:400, Bestuursrecht, 
834, ECLI:NL:HR:2014:3562, Bestuursrecht, Belastingrecht
835, ECLI:NL:RBAMS:2024:8240, Strafrecht, 
836, ECLI:NL:RVS:2016:744, Bestuursrecht, Vreemdelingenrecht
837, ECLI:NL:HR:2008:BC1849, Civiel recht, 
838, ECLI:NL:GHDHA:2024:1916, Bestuursrecht, Belastingrecht
839, ECLI:NL:HR:2017:78, Bestuursrecht, Belastingrecht
840, ECLI:NL:RVS:2018:2650, Bestuursrecht, 
841, ECLI:NL:RVS:2019:1968, Bestuursrecht, Vreemdelingenrecht
842, ECLI:NL:GHARL:2020:8709, Civiel recht, 
843, ECLI:NL:RBAMS:2024:5748, Civiel recht, Personen- en familierecht
844, ECLI:NL:HR:2014:3119, Bestuursrecht, Belastingrecht
845, ECLI:NL:GHARL:2017:4472, Bestuursrecht, Bestuursstrafrecht
846, ECLI:NL:RVS:2022:2661, Bestuursrecht, Vreemdelingenrecht
847, ECLI:NL:GHLEE:2009:BK1036, Bestuursrecht, Bestuursstrafrecht
848, ECLI:NL:GHAMS:2024:632, Bestuursrecht, Belastingrecht
849, ECLI:NL:HR:2003:AF3651, Bestuursrecht, Belastingrecht
850, ECLI:NL:HR:2010:BL0990, Bestuursrecht, Belastingrecht
851, ECLI:NL:RVS:2023:2829, Bestuursrecht, Vreemdelingenrecht
852, ECLI:NL:RVS:2024:625, Bestuursrecht, 
853, ECLI:NL:RVS:2025:301, Bestuursrecht, Vreemdelingenrecht
854, ECLI:NL:HR:2016:422, Bestuursrecht, Belastingrecht
855, ECLI:NL:HR:1995:ZC1911, Civiel recht, 
856, ECLI:NL:HR:1985:AG4961, Civiel recht, 
857, ECLI:NL:PHR:2024:235, Bestuursrecht, Belastingrecht
858, ECLI:NL:RVS:2025:5220, Bestuursrecht, Vreemdelingenrecht
859, ECLI:NL:CRVB:2017:104, Bestuursrecht, Ambtenarenrecht
860, ECLI:NL:GHARL:2022:1045, Civiel recht, Personen- en familierecht
861, ECLI:NL:HR:2014:2981, Bestuursrecht, Belastingrecht
862, ECLI:NL:RVS:2018:3176, Bestuursrecht, Vreemdelingenrecht
863, ECLI:NL:RVS:2021:1821, Bestuursrecht, Vreemdelingenrecht
864, ECLI:NL:HR:2024:1012, Strafrecht, 
865, ECLI:NL:RVS:2023:4014, Bestuursrecht, Vreemdelingenrecht
866, ECLI:NL:HR:2011:BP4340, Civiel recht, 
867, ECLI:NL:RVS:2018:1498, Bestuursrecht, Vreemdelingenrecht
868, ECLI:NL:HR:2013:29, Bestuursrecht, Belastingrecht
869, ECLI:NL:HR:2017:847, Bestuursrecht, Belastingrecht
870, ECLI:NL:CRVB:2020:868, Bestuursrecht, Ambtenarenrecht
871, ECLI:NL:HR:2010:BK4549, Civiel recht, 
872, ECLI:NL:RVS:2018:506, Bestuursrecht, 
873, ECLI:NL:RVS:2018:2241, Bestuursrecht, 
874, ECLI:NL:PHR:2023:696, Bestuursrecht, Belastingrecht
875, ECLI:NL:PHR:2023:130, Bestuursrecht, Belastingrecht
876, ECLI:NL:GHARL:2021:4153, Bestuursrecht, Belastingrecht
877, ECLI:NL:HR:2021:1086, Bestuursrecht, Belastingrecht
878, ECLI:NL:GHDHA:2023:750, Civiel recht, 
879, ECLI:NL:GHARL:2020:8992, Civiel recht, 
880, ECLI:NL:CBB:2022:5, Bestuursrecht, 
881, ECLI:NL:RVS:2021:2128, Bestuursrecht, 
882, ECLI:NL:HR:2006:AU3253, Civiel recht, 
883, ECLI:NL:HR:2001:AA9558, Civiel recht, Personen- en familierecht
884, ECLI:NL:RVS:2024:1040, Bestuursrecht, 
885, ECLI:NL:HR:2021:84, Bestuursrecht, Belastingrecht
886, ECLI:NL:RVS:2018:1684, Bestuursrecht, 
887, ECLI:NL:HR:2007:AZ3531, Civiel recht, 
888, ECLI:NL:RVS:2018:2577, Bestuursrecht, 
889, ECLI:NL:HR:2015:3009, Civiel recht, 
890, ECLI:NL:PHR:2020:950, Bestuursrecht, Belastingrecht
891, ECLI:NL:RBDHA:2023:12059, Bestuursrecht, 
892, ECLI:NL:RVS:2020:989, Bestuursrecht, Vreemdelingenrecht
893, ECLI:NL:GHDHA:2024:1915, Bestuursrecht, Belastingrecht
894, ECLI:NL:HR:2022:475, Strafrecht, 
895, ECLI:NL:RVS:2021:71, Bestuursrecht, 
896, ECLI:NL:GHARL:2024:7764, Bestuursrecht, Bestuursstrafrecht
897, ECLI:NL:HR:1994:ZC1396, Civiel recht, 
898, ECLI:NL:RVS:2018:1682, Bestuursrecht, 
899, ECLI:NL:HR:2017:3186, Strafrecht, 
900, ECLI:NL:RVS:2012:BW5293, Bestuursrecht, Omgevingsrecht
901, ECLI:NL:RVS:2018:1505, Bestuursrecht, Vreemdelingenrecht
902, ECLI:NL:PHR:2023:1099, Bestuursrecht, Belastingrecht
903, ECLI:NL:RBAMS:2024:1005, Strafrecht, Internationaal strafrecht
904, ECLI:NL:RVS:2023:411, Bestuursrecht, 
905, ECLI:NL:GHLEE:2012:BV7735, Bestuursrecht, Belastingrecht
906, ECLI:NL:CRVB:2018:1060, Bestuursrecht, Socialezekerheidsrecht
907, ECLI:NL:RVS:2022:1911, Bestuursrecht, 
908, ECLI:NL:RVS:2022:1910, Bestuursrecht, 
909, ECLI:NL:RVS:2013:BY8849, Bestuursrecht, Vreemdelingenrecht
910, ECLI:NL:GHSHE:2021:3315, Bestuursrecht, Belastingrecht
911, ECLI:NL:GHARL:2016:3027, Bestuursrecht, Bestuursstrafrecht
912, ECLI:NL:HR:2016:2082, Bestuursrecht, Belastingrecht
913, ECLI:NL:HR:2015:3475, Civiel recht, 
914, ECLI:NL:RVS:2023:1337, Bestuursrecht, 
915, ECLI:NL:RVS:2022:1788, Bestuursrecht, Vreemdelingenrecht
916, ECLI:NL:RVS:2013:910, Bestuursrecht, 
917, ECLI:NL:RVS:2023:1504, Bestuursrecht, Vreemdelingenrecht
918, ECLI:NL:RVS:2019:673, Bestuursrecht, 
919, ECLI:NL:RVS:2023:1253, Bestuursrecht, Omgevingsrecht
920, ECLI:NL:HR:1993:ZC1184, Civiel recht, 
921, ECLI:NL:RVS:2022:3958, Bestuursrecht, Vreemdelingenrecht
922, ECLI:NL:HR:2017:2656, Bestuursrecht, Belastingrecht
923, ECLI:NL:GHARL:2021:2108, Civiel recht, Personen- en familierecht
924, ECLI:NL:RVS:2014:4448, Bestuursrecht, 
925, ECLI:NL:HR:1993:ZC1217, Civiel recht, 
926, ECLI:NL:GHARL:2024:6664, Civiel recht, 
927, ECLI:NL:HR:2008:BD0464, Bestuursrecht, Belastingrecht
928, ECLI:NL:RVS:2021:1626, Bestuursrecht, Vreemdelingenrecht
929, ECLI:NL:GHDHA:2021:1449, Bestuursrecht, Belastingrecht
930, ECLI:NL:RVS:2012:BX1863, Bestuursrecht, 
931, ECLI:NL:CBB:2024:145, Bestuursrecht, 
932, ECLI:NL:RVS:2019:3203, Bestuursrecht, Vreemdelingenrecht
933, ECLI:NL:RVS:2022:3353, Bestuursrecht, Vreemdelingenrecht
934, ECLI:NL:RVS:2024:3945, Bestuursrecht, 
935, ECLI:NL:HR:2016:2829, Bestuursrecht, Belastingrecht
936, ECLI:NL:RVS:2022:1260, Bestuursrecht, Vreemdelingenrecht
937, ECLI:NL:HR:2016:252, Bestuursrecht, Belastingrecht
938, ECLI:NL:RVS:2013:1621, Bestuursrecht, 
939, ECLI:NL:RVS:2018:3934, Bestuursrecht, Vreemdelingenrecht
940, ECLI:NL:RVS:2012:BX2091, Bestuursrecht, Vreemdelingenrecht
941, ECLI:NL:RVS:2018:1416, Bestuursrecht, Vreemdelingenrecht
942, ECLI:NL:RBAMS:2023:5123, Strafrecht, Europees strafrecht
943, ECLI:NL:HR:2008:BD1101, Bestuursrecht, Belastingrecht
944, ECLI:NL:RVS:2016:3350, Bestuursrecht, Vreemdelingenrecht
945, ECLI:NL:HR:2005:AR7435, Civiel recht, 
946, ECLI:NL:RVS:2003:AH9212, Bestuursrecht, Vreemdelingenrecht
947, ECLI:NL:HR:2022:1657, Bestuursrecht, Belastingrecht
948, ECLI:NL:HR:2020:377, Strafrecht, 
949, ECLI:NL:RVS:2021:2305, Bestuursrecht, Omgevingsrecht
950, ECLI:NL:RVS:2022:1913, Bestuursrecht, 
951, ECLI:NL:RVS:2013:2362, Bestuursrecht, 
952, ECLI:NL:HR:1999:AA2710, Bestuursrecht, Belastingrecht
953, ECLI:NL:RBAMS:2017:414, Strafrecht, 
954, ECLI:NL:HR:2014:1193, Bestuursrecht, Belastingrecht
955, ECLI:NL:HR:2015:3370, Bestuursrecht, Belastingrecht
956, ECLI:NL:HR:2010:BK9136, Bestuursrecht, Belastingrecht
957, ECLI:NL:HR:2022:526, Bestuursrecht, Belastingrecht
958, ECLI:NL:RBDHA:2021:12952, Civiel recht, 
959, ECLI:NL:CRVB:2017:1585, Bestuursrecht, Socialezekerheidsrecht
960, ECLI:NL:RVS:2024:4352, Bestuursrecht, Vreemdelingenrecht
961, ECLI:NL:RVS:2020:1943, Bestuursrecht, Vreemdelingenrecht
962, ECLI:NL:GHAMS:2021:3801, Bestuursrecht, Belastingrecht
963, ECLI:NL:RVS:2023:2796, Bestuursrecht, 
964, ECLI:NL:HR:2017:295, Bestuursrecht, Belastingrecht
965, ECLI:NL:HR:2010:BM2471, Strafrecht, 
966, ECLI:NL:CRVB:2010:BN3811, Bestuursrecht, Socialezekerheidsrecht
967, ECLI:NL:HR:1982:AC7770, Bestuursrecht, Belastingrecht
968, ECLI:NL:RBLIM:2018:4931, Civiel recht, Personen- en familierecht
969, ECLI:NL:HR:2006:AY8649, Bestuursrecht, Belastingrecht
970, ECLI:NL:CRVB:2024:636, Bestuursrecht, Socialezekerheidsrecht
971, ECLI:NL:HR:2001:ZC3693, Civiel recht, 
972, ECLI:NL:HR:2013:199, Bestuursrecht, Belastingrecht
973, ECLI:NL:CRVB:2019:2017, Bestuursrecht, Socialezekerheidsrecht
974, ECLI:NL:RVS:2016:424, Bestuursrecht, Vreemdelingenrecht
975, ECLI:NL:HR:2013:840, Bestuursrecht, Belastingrecht
976, ECLI:NL:HR:2016:35, Bestuursrecht, Belastingrecht
977, ECLI:NL:RBROT:2021:6375, Bestuursrecht, 
978, ECLI:NL:GHARL:2023:8247, Bestuursrecht, Belastingrecht
979, ECLI:NL:CBB:2009:BJ2560, Bestuursrecht, 
980, ECLI:NL:HR:2012:BU9889, Civiel recht, 
981, ECLI:NL:RVS:2020:2771, Bestuursrecht, 
982, ECLI:NL:GHARN:2009:BL8328, Civiel recht, 
983, ECLI:NL:CBB:2020:993, Bestuursrecht, 
984, ECLI:NL:RBOVE:2020:4278, Civiel recht, 
985, ECLI:NL:HR:2001:AB3112, Bestuursrecht, Belastingrecht
986, ECLI:NL:HR:2004:AO7887, Civiel recht, 
987, ECLI:NL:RVS:2020:452, Bestuursrecht, 
988, ECLI:NL:HR:2010:BO1979, Civiel recht, 
989, ECLI:NL:HR:2006:AZ4416, Bestuursrecht, Belastingrecht
990, ECLI:NL:CRVB:2023:953, Bestuursrecht, Socialezekerheidsrecht
991, ECLI:NL:RVS:2006:AY4221, Bestuursrecht, 
992, ECLI:NL:RBZWB:2021:993, Civiel recht, 
993, ECLI:NL:HR:2022:875, Bestuursrecht, Belastingrecht
994, ECLI:NL:RVS:2022:1439, Bestuursrecht, 
995, ECLI:NL:RBDHA:2017:484, Bestuursrecht, Vreemdelingenrecht
996, ECLI:NL:HR:1992:ZC0729, Civiel recht, 
997, ECLI:NL:RVS:2017:3481, Bestuursrecht, 
998, ECLI:NL:CRVB:2018:578, Bestuursrecht, Socialezekerheidsrecht
999, ECLI:NL:RVS:2016:2618, Bestuursrecht, 
1000, ECLI:NL:OGHACMB:2018:232, Bestuursrecht, 
1001, ECLI:NL:RBGEL:2019:6276, Civiel recht, 
1002, ECLI:NL:RVS:2006:AV5061, Bestuursrecht, 
1003, ECLI:NL:CRVB:2019:3123, Bestuursrecht, Socialezekerheidsrecht
1004, ECLI:NL:HR:2007:BA4122, Civiel recht, 
1005, ECLI:NL:CRVB:2019:703, Bestuursrecht, Socialezekerheidsrecht
1006, ECLI:NL:RBDHA:2023:12805, Bestuursrecht, Belastingrecht
1007, ECLI:NL:TGZREIN:2022:66, Bestuursrecht, Belastingrecht
1008, ECLI:NL:RVS:2018:851, Bestuursrecht, 
1009, ECLI:NL:RVS:2020:1168, Bestuursrecht, Vreemdelingenrecht
1010, ECLI:NL:RVS:2006:AX0751, Bestuursrecht, 
1011, ECLI:NL:CRVB:2016:12, Bestuursrecht, Socialezekerheidsrecht
1012, ECLI:NL:RVS:2025:1981, Bestuursrecht, Vreemdelingenrecht
1013, ECLI:NL:HR:2020:154, Bestuursrecht, Belastingrecht
1014, ECLI:NL:RVS:2021:698, Bestuursrecht, Vreemdelingenrecht
1015, ECLI:NL:RVS:2015:855, Bestuursrecht, 
1016, ECLI:NL:GHDHA:2023:31, Civiel recht, Goederenrecht
1017, ECLI:NL:CRVB:2019:417, Bestuursrecht, Socialezekerheidsrecht
1018, ECLI:NL:RVS:2025:2349, Bestuursrecht, Vreemdelingenrecht
1019, ECLI:NL:RVS:2018:3939, Bestuursrecht, 
1020, ECLI:NL:HR:2002:ZC8145, Bestuursrecht, Belastingrecht
1021, ECLI:NL:HR:1997:ZC2389, Civiel recht, 
1022, ECLI:NL:RVS:2016:1008, Bestuursrecht, 
1023, ECLI:NL:CRVB:2012:BY4335, Bestuursrecht, Socialezekerheidsrecht
1024, ECLI:NL:CRVB:2022:1282, Bestuursrecht, Socialezekerheidsrecht
1025, ECLI:NL:HR:1978:AC2432, Bestuursrecht, Belastingrecht
1026, ECLI:NL:RVS:2021:1155, Bestuursrecht, Vreemdelingenrecht
1027, ECLI:NL:RVS:2006:AY8930, Bestuursrecht, 
1028, ECLI:NL:PHR:2024:137, Bestuursrecht, Belastingrecht
1029, ECLI:NL:RBLIM:2022:2220, Bestuursrecht, 
1030, ECLI:NL:RVS:2017:3311, Bestuursrecht, 
1031, ECLI:NL:RBOVE:2021:2548, Civiel recht, 
1032, ECLI:NL:GHARL:2018:4546, Strafrecht, Strafprocesrecht
1033, ECLI:NL:RVS:2015:1537, Bestuursrecht, Vreemdelingenrecht
1034, ECLI:NL:CRVB:2022:2019, Bestuursrecht, Socialezekerheidsrecht
1035, ECLI:NL:CRVB:2017:4363, Bestuursrecht, Socialezekerheidsrecht
1036, ECLI:NL:HR:2022:1087, Bestuursrecht, Belastingrecht
1037, ECLI:NL:RVS:2021:1192, Bestuursrecht, Vreemdelingenrecht
1038, ECLI:NL:GHAMS:2024:2670, Bestuursrecht, Belastingrecht
1039, ECLI:NL:CBB:2022:285, Bestuursrecht, 
1040, ECLI:NL:RVS:2022:1070, Bestuursrecht, 
1041, ECLI:NL:PHR:2023:655, Bestuursrecht, Belastingrecht
1042, ECLI:NL:HR:2013:691, Civiel recht, 
1043, ECLI:NL:CRVB:2016:2144, Bestuursrecht, Socialezekerheidsrecht
1044, ECLI:NL:CRVB:2023:1681, Bestuursrecht, Socialezekerheidsrecht
1045, ECLI:NL:RVS:2016:757, Bestuursrecht, 
1046, ECLI:NL:HR:2016:1005, Strafrecht, 
1047, ECLI:NL:CRVB:2024:834, Bestuursrecht, Socialezekerheidsrecht
1048, ECLI:NL:RVS:2009:BK2270, Bestuursrecht, Vreemdelingenrecht
1049, ECLI:NL:HR:2009:BI1892, Bestuursrecht, Belastingrecht
1050, ECLI:NL:RVS:2020:2441, Bestuursrecht, Omgevingsrecht
1051, ECLI:NL:CRVB:2022:2460, Bestuursrecht, Socialezekerheidsrecht
1052, ECLI:NL:HR:2008:BC2837, Civiel recht, 
1053, ECLI:NL:RVS:2019:457, Bestuursrecht, Vreemdelingenrecht
1054, ECLI:NL:GHARL:2021:4778, Bestuursrecht, Bestuursstrafrecht
1055, ECLI:NL:PHR:2023:1004, Bestuursrecht, Belastingrecht
1056, ECLI:NL:HR:2015:1776, Bestuursrecht, Belastingrecht
1057, ECLI:NL:HR:2015:3028, Strafrecht, 
1058, ECLI:NL:RVS:2015:4061, Bestuursrecht, Vreemdelingenrecht
1059, ECLI:NL:CRVB:2012:BV1028, Bestuursrecht, Socialezekerheidsrecht
1060, ECLI:NL:HR:2023:969, Civiel recht, Internationaal privaatrecht
1061, ECLI:NL:HR:2022:1040, Bestuursrecht, Belastingrecht
1062, ECLI:NL:CRVB:2017:1921, Bestuursrecht, Socialezekerheidsrecht
1063, ECLI:NL:CBB:2013:BZ6866, Bestuursrecht, 
1064, ECLI:NL:RBOVE:2024:5276, Bestuursrecht, 
1065, ECLI:NL:RVS:2019:2217, Bestuursrecht, Omgevingsrecht
1066, ECLI:NL:RBOVE:2024:4605, Bestuursrecht, Vreemdelingenrecht
1067, ECLI:NL:RVS:2013:51, Bestuursrecht, 
1068, ECLI:NL:CRVB:2023:2216, Bestuursrecht, Socialezekerheidsrecht
1069, ECLI:NL:RVS:2009:BI4558, Bestuursrecht, 
1070, ECLI:NL:RBNNE:2017:715, Civiel recht, 
1071, ECLI:NL:RVS:2012:BV2474, Bestuursrecht, Vreemdelingenrecht
1072, ECLI:NL:HR:2013:969, Bestuursrecht, Belastingrecht
1073, ECLI:NL:GHSHE:2010:BO1880, Bestuursrecht, Belastingrecht
1074, ECLI:NL:HR:2001:AB0610, Strafrecht, 
1075, ECLI:NL:HR:2015:874, Bestuursrecht, Belastingrecht
1076, ECLI:NL:GHDHA:2023:2606, Civiel recht, Insolventierecht
1077, ECLI:NL:RVS:2020:19, Bestuursrecht, 
1078, ECLI:NL:HR:2019:2034, Civiel recht, 
1079, ECLI:NL:HR:1990:AB7898, Civiel recht, 
1080, ECLI:NL:RVS:2016:2927, Bestuursrecht, 
1081, ECLI:NL:RVS:2021:1468, Bestuursrecht, 
1082, ECLI:NL:HR:2017:696, Civiel recht, Insolventierecht
1083, ECLI:NL:RVS:2019:1528, Bestuursrecht, Vreemdelingenrecht
1084, ECLI:NL:GHDHA:2022:56, Bestuursrecht, Belastingrecht
1085, ECLI:NL:HR:2002:AE7005, Civiel recht, 
1086, ECLI:NL:HR:2017:871, Civiel recht, Personen- en familierecht
1087, ECLI:NL:CRvB:2010:BL9850, Bestuursrecht, Socialezekerheidsrecht
1088, ECLI:NL:RVS:2013:BZ1251, Bestuursrecht, 
1089, ECLI:NL:RBGEL:2021:5596, Bestuursrecht, Bestuursprocesrecht
1090, ECLI:NL:GHSHE:2022:4076, Civiel recht, Verbintenissenrecht
1091, ECLI:NL:PHR:2021:617, Bestuursrecht, Belastingrecht
1092, ECLI:NL:HR:2010:BO6786, Bestuursrecht, Belastingrecht
1093, ECLI:NL:HR:2018:1413, Strafrecht, 
1094, ECLI:NL:RBDHA:2021:3907, Civiel recht, Personen- en familierecht
1095, ECLI:NL:PHR:2015:947, Bestuursrecht, Belastingrecht
1096, ECLI:NL:HR:2016:236, Civiel recht, 
1097, ECLI:NL:HR:2011:BP1510, Bestuursrecht, Belastingrecht
1098, ECLI:NL:RVS:2014:4668, Bestuursrecht, 
1099, ECLI:NL:CRVB:2019:2422, Bestuursrecht, Socialezekerheidsrecht
1100, ECLI:NL:RVS:2016:1953, Bestuursrecht, 
1101, ECLI:NL:RVS:2018:2400, Bestuursrecht, 
1102, ECLI:NL:RVS:2014:182, Bestuursrecht, 
1103, ECLI:NL:CBB:2023:550, Bestuursrecht, 
1104, ECLI:NL:RVS:2023:4066, Bestuursrecht, Vreemdelingenrecht
1105, ECLI:NL:RVS:2008:BG8294, Bestuursrecht, 
1106, ECLI:NL:RBNNE:2019:3437, Civiel recht, Personen- en familierecht
1107, ECLI:NL:RVS:2016:3167, Bestuursrecht, 
1108, ECLI:NL:HR:2014:636, Bestuursrecht, Belastingrecht
1109, ECLI:NL:RVS:2013:BZ0722, Bestuursrecht, 
1110, ECLI:NL:CRVB:2018:3937, Bestuursrecht, Socialezekerheidsrecht
1111, ECLI:NL:GHDHA:2021:2131, Bestuursrecht, Belastingrecht
1112, ECLI:NL:RBOBR:2018:357, Bestuursrecht, Belastingrecht
1113, ECLI:NL:RVS:2019:719, Bestuursrecht, 
1114, ECLI:NL:RBNHO:2023:103, Civiel recht, Personen- en familierecht
1115, ECLI:NL:PHR:2020:316, Bestuursrecht, Belastingrecht
1116, ECLI:NL:CRVB:2016:3024, Bestuursrecht, Socialezekerheidsrecht
1117, ECLI:NL:RVS:2016:3084, Bestuursrecht, Vreemdelingenrecht
1118, ECLI:NL:GHDHA:2021:1193, Bestuursrecht, Belastingrecht
1119, ECLI:NL:GHARL:2020:1129, Civiel recht, 
1120, ECLI:NL:HR:2024:922, Civiel recht, Ondernemingsrecht
1121, ECLI:NL:RVS:2024:5412, Bestuursrecht, 
1122, ECLI:NL:GHARL:2018:7137, Civiel recht, 
1123, ECLI:NL:HR:2024:704, Bestuursrecht, Belastingrecht
1124, ECLI:NL:CRVB:2018:814, Bestuursrecht, Socialezekerheidsrecht
1125, ECLI:NL:HR:2023:1610, Civiel recht, 
1126, ECLI:NL:RVS:2020:2030, Bestuursrecht, 
1127, ECLI:NL:RVS:2012:BX9702, Bestuursrecht, 
1128, ECLI:NL:CRVB:2015:2789, Bestuursrecht, Socialezekerheidsrecht
1129, ECLI:NL:RVS:2014:3164, Bestuursrecht, Vreemdelingenrecht
1130, ECLI:NL:RVS:2013:923, Bestuursrecht, 
1131, ECLI:NL:HR:2017:294, Bestuursrecht, Belastingrecht
1132, ECLI:NL:RVS:2021:1563, Bestuursrecht, Vreemdelingenrecht
1133, ECLI:NL:HR:2010:BL1950, Bestuursrecht, Belastingrecht
1134, ECLI:NL:RVS:2023:1693, Bestuursrecht, Vreemdelingenrecht
1135, ECLI:NL:RVS:2021:1332, Bestuursrecht, 
1136, ECLI:NL:CRVB:2022:634, Bestuursrecht, Socialezekerheidsrecht
1137, ECLI:NL:PHR:2016:1218, Bestuursrecht, Belastingrecht
1138, ECLI:NL:RVS:2014:305, Bestuursrecht, 
1139, ECLI:NL:HR:2023:1107, Bestuursrecht, Belastingrecht
1140, ECLI:NL:RBMNE:2020:6015, Civiel recht, Arbeidsrecht
1141, ECLI:NL:RBOBR:2025:272, Bestuursrecht, Socialezekerheidsrecht
1142, ECLI:NL:HR:2021:1303, Bestuursrecht, Belastingrecht
1143, ECLI:NL:RVS:2017:209, Bestuursrecht, Vreemdelingenrecht
1144, ECLI:NL:RVS:2024:871, Bestuursrecht, 
1145, ECLI:NL:HR:2001:AB1558, Civiel recht, 
1146, ECLI:NL:RBAMS:2018:7062, Civiel recht, 
1147, ECLI:NL:RVS:2025:5218, Bestuursrecht, Vreemdelingenrecht
1148, ECLI:NL:HR:2020:561, Bestuursrecht, Belastingrecht
1149, ECLI:NL:RVS:2025:2337, Bestuursrecht, Vreemdelingenrecht
1150, ECLI:NL:RVS:2014:681, Bestuursrecht, 
1151, ECLI:NL:RVS:2020:1362, Bestuursrecht, 
1152, ECLI:NL:RBAMS:2024:782, Strafrecht, Europees strafrecht
1153, ECLI:NL:PHR:2022:638, Bestuursrecht, Belastingrecht
1154, ECLI:NL:HR:2009:BH2811, Civiel recht, 
1155, ECLI:NL:RVS:2023:1938, Bestuursrecht, Vreemdelingenrecht
1156, ECLI:NL:HR:2018:591, Bestuursrecht, Belastingrecht
1157, ECLI:NL:RVS:2015:2071, Bestuursrecht, 
1158, ECLI:NL:RVS:2024:1188, Bestuursrecht, Vreemdelingenrecht
1159, ECLI:NL:RVS:2019:2462, Bestuursrecht, 
1160, ECLI:NL:HR:2017:607, Bestuursrecht, Belastingrecht
1161, ECLI:NL:HR:2006:AY7463, Civiel recht, 
1162, ECLI:NL:OGHACMB:2015:33, Bestuursrecht, 
1163, ECLI:NL:RVS:2013:819, Bestuursrecht, 
1164, ECLI:NL:HR:2015:3173, Bestuursrecht, Belastingrecht
1165, ECLI:NL:RVS:2020:2068, Bestuursrecht, Vreemdelingenrecht
1166, ECLI:NL:RVS:2013:501, Bestuursrecht, Vreemdelingenrecht
1167, ECLI:NL:GHDHA:2020:2117, Civiel recht, Personen- en familierecht
1168, ECLI:NL:RVS:2025:5275, Bestuursrecht, Vreemdelingenrecht
1169, ECLI:NL:GHARL:2024:1, Bestuursrecht, Bestuursstrafrecht
1170, ECLI:NL:CRVB:2008:BD3213, Bestuursrecht, Socialezekerheidsrecht
1171, ECLI:NL:RVS:2009:BK5083, Bestuursrecht, 
1172, ECLI:NL:RVS:2023:4860, Bestuursrecht, Omgevingsrecht
1173, ECLI:NL:HR:1993:ZC1176, Civiel recht, 
1174, ECLI:NL:RVS:2003:AN7532, Bestuursrecht, Vreemdelingenrecht
1175, ECLI:NL:HR:2009:BH1083, Bestuursrecht, Belastingrecht
1176, ECLI:NL:HR:2016:1311, Civiel recht, 
1177, ECLI:NL:RVS:2021:878, Bestuursrecht, Vreemdelingenrecht
1178, ECLI:NL:HR:2010:BN8049, Bestuursrecht, Belastingrecht
1179, ECLI:NL:GHSHE:2022:3789, Bestuursrecht, Belastingrecht
1180, ECLI:NL:RBDHA:2015:1004, Bestuursrecht, Vreemdelingenrecht
1181, ECLI:NL:HR:2014:215, Civiel recht, 
1182, ECLI:NL:RVS:2018:2620, Bestuursrecht, 
1183, ECLI:NL:RVS:2020:1855, Bestuursrecht, Vreemdelingenrecht
1184, ECLI:NL:RBROT:2023:4376, Bestuursrecht, Bestuursstrafrecht
1185, ECLI:NL:RVS:2022:1020, Bestuursrecht, 
1186, ECLI:NL:RVS:2014:529, Bestuursrecht, 
1187, ECLI:NL:HR:1990:ZC4191, Bestuursrecht, Belastingrecht
1188, ECLI:NL:RVS:2017:354, Bestuursrecht, Omgevingsrecht
1189, ECLI:NL:RVS:2019:2912, Bestuursrecht, 
1190, ECLI:NL:RVS:2022:1916, Bestuursrecht, 
1191, ECLI:NL:RVS:2021:2564, Bestuursrecht, Vreemdelingenrecht
1192, ECLI:NL:RVS:2019:1390, Bestuursrecht, Vreemdelingenrecht
1193, ECLI:NL:RVS:2022:1918, Bestuursrecht, Vreemdelingenrecht
1194, ECLI:NL:RVS:2015:1515, Bestuursrecht, 
1195, ECLI:NL:RVS:2012:BX1866, Bestuursrecht, 
1196, ECLI:NL:HR:2021:1748, Bestuursrecht, Belastingrecht
1197, ECLI:NL:RBDHA:2024:10950, Bestuursrecht, Vreemdelingenrecht
1198, ECLI:NL:GHARL:2021:9802, Bestuursrecht, Belastingrecht
1199, ECLI:NL:HR:2013:BZ9228, Civiel recht, 
1200, ECLI:NL:RVS:2023:3209, Bestuursrecht, 
1201, ECLI:NL:RVS:2011:BQ1879, Bestuursrecht, 
1202, ECLI:NL:RVS:2021:374, Bestuursrecht, 
1203, ECLI:NL:GHAMS:2024:1370, Bestuursrecht, Belastingrecht
1204, ECLI:NL:RVS:2014:3736, Bestuursrecht, 
1205, ECLI:NL:RVS:2023:1417, Bestuursrecht, Vreemdelingenrecht
1206, ECLI:NL:HR:2015:3625, Civiel recht, 
1207, ECLI:NL:CRVB:2015:4398, Bestuursrecht, Ambtenarenrecht
1208, ECLI:NL:GHDHA:2024:1638, Bestuursrecht, Belastingrecht
