id, ECLI, rechtsgebied, subrechtsgebied
2387, ECLI:NL:GHDHA:2023:1691, Bestuursrecht, Belastingrecht
2388, ECLI:NL:RBAMS:2023:3417, Strafrecht, Europees strafrecht
2389, ECLI:NL:CRVB:2022:250, Bestuursrecht, Socialezekerheidsrecht
2390, ECLI:NL:CRVB:2022:2462, Bestuursrecht, Socialezekerheidsrecht
2391, ECLI:NL:RVS:2024:2242, Bestuursrecht, 
2392, ECLI:NL:RVS:2011:5176, Bestuursrecht, 
2393, ECLI:NL:RVS:2010:BM9389, Bestuursrecht, 
2394, ECLI:NL:HR:2024:1178, Bestuursrecht, Belastingrecht
2395, ECLI:NL:HR:2010:BK3103, Bestuursrecht, Belastingrecht
2396, ECLI:NL:RVS:2021:696, Bestuursrecht, Vreemdelingenrecht
2397, ECLI:NL:RVS:2012:BV7254, Bestuursrecht, 
2398, ECLI:NL:HR:2008:BE9080, Civiel recht, 
2399, ECLI:NL:HR:2005:AU3929, Bestuursrecht, Belastingrecht
2400, ECLI:NL:RVS:2024:1742, Bestuursrecht, Vreemdelingenrecht
2401, ECLI:NL:CRVB:2008:BD2441, Bestuursrecht, Socialezekerheidsrecht
2402, ECLI:NL:HR:2012:BR2342, Strafrecht, 
2403, ECLI:NL:HR:2022:853, Civiel recht, Verbintenissenrecht
2404, ECLI:NL:RVS:2009:BK5070, Bestuursrecht, 
2405, ECLI:NL:TGZCTG:2018:274, Bestuursrecht, 
2406, ECLI:NL:CRVB:2017:3543, Bestuursrecht, Ambtenarenrecht
2407, ECLI:NL:CRvB:2011:BP9890, Bestuursrecht, Socialezekerheidsrecht
2408, ECLI:NL:CRVB:2002:AF0902, Bestuursrecht, Socialezekerheidsrecht
2409, ECLI:NL:HR:2009:BK0146, Civiel recht, 
2410, ECLI:NL:HR:1998:AA2572, Bestuursrecht, Belastingrecht
2411, ECLI:NL:HR:2015:3633, Civiel recht, Personen- en familierecht
2412, ECLI:NL:HR:1995:ZC1859, Civiel recht, 
2413, ECLI:NL:RVS:2011:BV3584, Bestuursrecht, Vreemdelingenrecht
2414, ECLI:NL:RVS:2007:BB7332, Bestuursrecht, 
2415, ECLI:NL:PHR:2018:616, Bestuursrecht, Belastingrecht
2416, ECLI:NL:RVS:2019:1402, Bestuursrecht, Vreemdelingenrecht
2417, ECLI:NL:HR:2016:2015, Civiel recht, 
2418, ECLI:NL:HR:2016:482, Bestuursrecht, Belastingrecht
2419, ECLI:NL:CRvB:2009:BK3717, Bestuursrecht, Socialezekerheidsrecht
2420, ECLI:NL:CRVB:2015:4737, Bestuursrecht, Socialezekerheidsrecht
2421, ECLI:NL:HR:1993:ZC1183, Civiel recht, 
2422, ECLI:NL:CRVB:2021:2305, Bestuursrecht, Socialezekerheidsrecht
2423, ECLI:NL:RBNNE:2024:3247, Bestuursrecht, 
2424, ECLI:NL:HR:1988:ZC3883, Bestuursrecht, Belastingrecht
2425, ECLI:NL:CRVB:2013:951, Bestuursrecht, Socialezekerheidsrecht
2426, ECLI:NL:PHR:2018:1419, Bestuursrecht, Belastingrecht
2427, ECLI:NL:HR:1992:ZC5032, Bestuursrecht, Belastingrecht
2428, ECLI:NL:HR:2018:1935, Civiel recht, 
2429, ECLI:NL:RVS:2018:1511, Bestuursrecht, Omgevingsrecht
2430, ECLI:NL:HR:1999:ZC2993, Civiel recht, 
2431, ECLI:NL:GHSHE:2024:699, Bestuursrecht, Belastingrecht
2432, ECLI:NL:HR:2016:369, Civiel recht, 
2433, ECLI:NL:RVS:2014:4413, Bestuursrecht, 
2434, ECLI:NL:CRVB:2019:2019, Bestuursrecht, Socialezekerheidsrecht
2435, ECLI:NL:HR:1978:AM4447, Bestuursrecht, Belastingrecht
2436, ECLI:NL:GHARL:2020:7762, Bestuursrecht, Bestuursstrafrecht
2437, ECLI:NL:CBB:2016:211, Bestuursrecht, 
2438, ECLI:NL:RVS:2017:3628, Bestuursrecht, 
2439, ECLI:NL:CRVB:2017:3059, Bestuursrecht, Socialezekerheidsrecht
2440, ECLI:NL:GHARL:2019:10121, Bestuursrecht, Bestuursstrafrecht
2441, ECLI:NL:RVS:2025:5144, Bestuursrecht, Vreemdelingenrecht
2442, ECLI:NL:RBAMS:2021:3732, Civiel recht, 
2443, ECLI:NL:CBB:2017:32, Bestuursrecht, 
2444, ECLI:NL:RVS:2017:2327, Bestuursrecht, 
2445, ECLI:NL:RVS:2018:1149, Bestuursrecht, 
2446, ECLI:NL:HR:2016:2012, Civiel recht, 
2447, ECLI:NL:HR:2017:3081, Bestuursrecht, Belastingrecht
2448, ECLI:NL:HR:2020:1666, Bestuursrecht, Belastingrecht
2449, ECLI:NL:RVS:2018:2010, Bestuursrecht, Omgevingsrecht
2450, ECLI:NL:HR:1997:ZC2348, Civiel recht, 
2451, ECLI:NL:RVS:2012:BV8773, Bestuursrecht, 
2452, ECLI:NL:HR:1994:AD2076, Strafrecht, 
2453, ECLI:NL:GHLEE:2011:BQ2772, Civiel recht, Personen- en familierecht
2454, ECLI:NL:RVS:2021:2126, Bestuursrecht, 
2455, ECLI:NL:HR:2000:AA6124, Bestuursrecht, Belastingrecht
2456, ECLI:NL:GHDHA:2021:1873, Strafrecht, 
2457, ECLI:NL:RVS:2017:1434, Bestuursrecht, Omgevingsrecht
2458, ECLI:NL:CRVB:2022:1859, Bestuursrecht, Ambtenarenrecht
2459, ECLI:NL:CRVB:2020:1652, Bestuursrecht, Socialezekerheidsrecht
2460, ECLI:NL:RBNHO:2025:22, Bestuursrecht, Socialezekerheidsrecht
2461, ECLI:NL:RVS:2018:3736, Bestuursrecht, Vreemdelingenrecht
2462, ECLI:NL:HR:2011:BT2293, Bestuursrecht, Belastingrecht
2463, ECLI:NL:RBAMS:2015:2111, Bestuursrecht, Socialezekerheidsrecht
2464, ECLI:NL:GHARL:2024:866, Civiel recht, 
2465, ECLI:NL:CRVB:2016:1943, Bestuursrecht, Socialezekerheidsrecht
2466, ECLI:NL:RVS:2017:2058, Bestuursrecht, Vreemdelingenrecht
2467, ECLI:NL:RVS:2023:3569, Bestuursrecht, Vreemdelingenrecht
2468, ECLI:NL:RVS:2015:3767, Bestuursrecht, 
2469, ECLI:NL:CRVB:2015:926, Bestuursrecht, Socialezekerheidsrecht
2470, ECLI:NL:HR:2006:AX0985, Bestuursrecht, Belastingrecht
2471, ECLI:NL:PHR:2021:1019, Bestuursrecht, Belastingrecht
2472, ECLI:NL:HR:2019:376, Civiel recht, 
2473, ECLI:NL:CRVB:2003:AO0764, Bestuursrecht, Socialezekerheidsrecht
2474, ECLI:NL:RVS:2014:1841, Bestuursrecht, 
2475, ECLI:NL:PHR:2016:339, Bestuursrecht, Belastingrecht
2476, ECLI:NL:HR:2019:1734, Civiel recht, Arbeidsrecht
2477, ECLI:NL:RBGEL:2018:4963, Civiel recht, 
2478, ECLI:NL:HR:2019:1619, Bestuursrecht, Belastingrecht
2479, ECLI:NL:HR:2000:AA6341, Civiel recht, Personen- en familierecht
2480, ECLI:NL:GHARL:2019:7007, Bestuursrecht, Belastingrecht
2481, ECLI:NL:RVS:2009:BH5553, Bestuursrecht, 
2482, ECLI:NL:RVS:2015:160, Bestuursrecht, 
2483, ECLI:NL:RBZWB:2025:91, Bestuursrecht, 
2484, ECLI:NL:RVS:2020:2032, Bestuursrecht, 
2485, ECLI:NL:GHARL:2018:10783, Civiel recht, 
2486, ECLI:NL:HR:2021:537, Civiel recht, Arbeidsrecht
2487, ECLI:NL:RBAMS:2025:4974, Strafrecht, Europees strafrecht
2488, ECLI:NL:HR:2002:AD8186, Civiel recht, 
2489, ECLI:NL:HR:2009:BJ0655, Civiel recht, 
2490, ECLI:NL:RVS:2017:210, Bestuursrecht, Vreemdelingenrecht
2491, ECLI:NL:RBZWB:2024:125, Bestuursrecht, 
2492, ECLI:NL:RVS:2018:4195, Bestuursrecht, 
2493, ECLI:NL:RVS:2016:2518, Bestuursrecht, Omgevingsrecht
2494, ECLI:NL:RVS:2018:1066, Bestuursrecht, Omgevingsrecht
2495, ECLI:NL:PHR:2023:1209, Bestuursrecht, Belastingrecht
2496, ECLI:NL:RVS:2017:25, Bestuursrecht, 
2497, ECLI:NL:RVS:2019:777, Bestuursrecht, 
2498, ECLI:NL:GHARL:2021:1786, Bestuursrecht, Bestuursstrafrecht
2499, ECLI:NL:HR:2012:BV7393, Bestuursrecht, Belastingrecht
2500, ECLI:NL:CBB:2023:142, Bestuursrecht, 
2501, ECLI:NL:RBROT:2025:2639, Bestuursrecht, 
2502, ECLI:NL:HR:2014:2628, Civiel recht, 
2503, ECLI:NL:HR:2017:3226, Bestuursrecht, Belastingrecht
2504, ECLI:NL:RVS:2017:2553, Bestuursrecht, 
2505, ECLI:NL:HR:2001:ZC3598, Civiel recht, Personen- en familierecht
2506, ECLI:NL:CRVB:2012:BY4322, Bestuursrecht, Socialezekerheidsrecht
2507, ECLI:NL:RVS:2018:4314, Bestuursrecht, Vreemdelingenrecht
2508, ECLI:NL:RBAMS:2019:7000, Civiel recht, 
2509, ECLI:NL:RVS:2014:3833, Bestuursrecht, Vreemdelingenrecht
2510, ECLI:NL:RVS:2020:1541, Bestuursrecht, 
2511, ECLI:NL:HR:2015:2795, Bestuursrecht, Belastingrecht
2512, ECLI:NL:HR:2007:AZ5556, Bestuursrecht, Belastingrecht
2513, ECLI:NL:RBDHA:2019:12133, Bestuursrecht, Vreemdelingenrecht
2514, ECLI:NL:RVS:2023:1962, Bestuursrecht, Vreemdelingenrecht
2515, ECLI:NL:CBB:2023:476, Bestuursrecht, 
2516, ECLI:NL:HR:2007:AZ7772, Civiel recht, Personen- en familierecht
2517, ECLI:NL:GHDHA:2022:657, Bestuursrecht, Belastingrecht
2518, ECLI:NL:HR:2011:BQ7597, Bestuursrecht, Belastingrecht
2519, ECLI:NL:CRVB:2018:114, Bestuursrecht, Socialezekerheidsrecht
2520, ECLI:NL:HR:2017:584, Strafrecht, 
2521, ECLI:NL:RVS:2020:1117, Bestuursrecht, 
2522, ECLI:NL:CRVB:2013:1936, Bestuursrecht, Socialezekerheidsrecht
2523, ECLI:NL:RVS:2020:2748, Bestuursrecht, 
2524, ECLI:NL:RBDHA:2021:402, Bestuursrecht, Vreemdelingenrecht
2525, ECLI:NL:CRVB:2018:3474, Bestuursrecht, Socialezekerheidsrecht
2526, ECLI:NL:HR:2018:2363, Civiel recht, 
2527, ECLI:NL:GHDHA:2022:2539, Bestuursrecht, Belastingrecht
2528, ECLI:NL:RVS:2025:5158, Bestuursrecht, 
2529, ECLI:NL:RVS:2019:990, Bestuursrecht, Vreemdelingenrecht
2530, ECLI:NL:RVS:2017:2707, Bestuursrecht, Vreemdelingenrecht
2531, ECLI:NL:RBLIM:2025:8509, Bestuursrecht, Vreemdelingenrecht
2532, ECLI:NL:GHAMS:2021:392, Civiel recht, 
2533, ECLI:NL:RVS:2018:1975, Bestuursrecht, Vreemdelingenrecht
2534, ECLI:NL:RVS:2018:1200, Bestuursrecht, 
2535, ECLI:NL:GHARL:2022:7778, Strafrecht, 
2536, ECLI:NL:HR:2018:2080, Bestuursrecht, Belastingrecht
2537, ECLI:NL:HR:2013:BZ9225, Civiel recht, 
2538, ECLI:NL:HR:2011:BP8686, Civiel recht, 
2539, ECLI:NL:HR:2022:752, Bestuursrecht, Belastingrecht
2540, ECLI:NL:RVS:2017:1819, Bestuursrecht, Vreemdelingenrecht
2541, ECLI:NL:HR:2004:AO6012, Civiel recht, 
2542, ECLI:NL:RVS:2025:159, Bestuursrecht, Vreemdelingenrecht
2543, ECLI:NL:GHARL:2021:9948, Strafrecht, Penitentiair strafrecht
2544, ECLI:NL:HR:2013:BY5241, Civiel recht, 
2545, ECLI:NL:GHAMS:2014:1523, Civiel recht, 
2546, ECLI:NL:RVS:2025:5170, Bestuursrecht, Vreemdelingenrecht
2547, ECLI:NL:RVS:2020:214, Bestuursrecht, 
2548, ECLI:NL:RVS:2015:2842, Bestuursrecht, Omgevingsrecht
