id, ECLI, rechtsgebied, subrechtsgebied
950, ECLI:NL:RVS:2025:5345, Bestuursrecht, 
951, ECLI:NL:RVS:2025:5340, Bestuursrecht, 
952, ECLI:NL:RVS:2025:5337, Bestuursrecht, 
953, ECLI:NL:RVS:2025:5352, Bestuursrecht, 
954, ECLI:NL:RVS:2025:5347, Bestuursrecht, Omgevingsrecht
955, ECLI:NL:RVS:2025:5309, Bestuursrecht, Omgevingsrecht
956, ECLI:NL:RVS:2025:5310, Bestuursrecht, 
957, ECLI:NL:RVS:2025:5245, Bestuursrecht, 
958, ECLI:NL:GHSHE:2025:3027, Strafrecht, 
959, ECLI:NL:RBZWB:2025:7259, Bestuursrecht, Belastingrecht
960, ECLI:NL:RBZWB:2025:7261, Bestuursrecht, Belastingrecht
961, ECLI:NL:RBMNE:2025:5727, Bestuursrecht, Bestuursstrafrecht
962, ECLI:NL:RVS:2025:5188, Bestuursrecht, 
963, ECLI:NL:RBDHA:2025:20517, Bestuursrecht, Vreemdelingenrecht
964, ECLI:NL:GHSHE:2025:1795, Civiel recht, Burgerlijk procesrecht
965, ECLI:NL:RBZWB:2025:7262, Bestuursrecht, Belastingrecht
966, ECLI:NL:CRVB:2025:1310, Bestuursrecht, Socialezekerheidsrecht
967, ECLI:NL:RBDHA:2025:20501, Bestuursrecht, Vreemdelingenrecht
968, ECLI:NL:GHARL:2025:6613, Bestuursrecht, Belastingrecht
969, ECLI:NL:RBZWB:2025:7033, Bestuursrecht, Belastingrecht
970, ECLI:NL:RBZWB:2025:7250, Bestuursrecht, Belastingrecht
971, ECLI:NL:RBNNE:2025:4521, Strafrecht, Materieel strafrecht
972, ECLI:NL:RBROT:2025:12581, Civiel recht, Verbintenissenrecht
973, ECLI:NL:RBAMS:2025:7373, Bestuursrecht, Omgevingsrecht
974, ECLI:NL:RBNNE:2025:4520, Strafrecht, Materieel strafrecht
975, ECLI:NL:RBOBR:2025:7189, Bestuursrecht, 
976, ECLI:NL:RBZWB:2025:7253, Bestuursrecht, Belastingrecht
977, ECLI:NL:RBAMS:2025:7372, Bestuursrecht, Omgevingsrecht
978, ECLI:NL:RBNHO:2025:8987, Bestuursrecht, Belastingrecht
979, ECLI:NL:RBAMS:2025:3259, Bestuursrecht, Belastingrecht
980, ECLI:NL:HR:2025:1604, Bestuursrecht, Belastingrecht
981, ECLI:NL:RBDHA:2025:19489, Bestuursrecht, Socialezekerheidsrecht
982, ECLI:NL:RBDHA:2025:19490, Bestuursrecht, Socialezekerheidsrecht
983, ECLI:NL:RBDHA:2025:20508, Bestuursrecht, Vreemdelingenrecht
984, ECLI:NL:HR:2025:1615, Bestuursrecht, Belastingrecht
985, ECLI:NL:RBNHO:2025:10678, Bestuursrecht, Belastingrecht
986, ECLI:NL:RBNNE:2025:3046, Bestuursrecht, Belastingrecht
987, ECLI:NL:HR:2025:1595, Bestuursrecht, Belastingrecht
988, ECLI:NL:RBNNE:2025:3648, Bestuursrecht, Belastingrecht
989, ECLI:NL:GHAMS:2025:1673, Bestuursrecht, Belastingrecht
990, ECLI:NL:GHAMS:2025:1736, Bestuursrecht, Belastingrecht
991, ECLI:NL:HR:2025:1601, Bestuursrecht, Belastingrecht
992, ECLI:NL:GHDHA:2025:1826, Bestuursrecht, Belastingrecht
993, ECLI:NL:RBNHO:2025:9380, Bestuursrecht, Belastingrecht
994, ECLI:NL:RBNHO:2025:9926, Bestuursrecht, Belastingrecht
995, ECLI:NL:RBNHO:2025:9536, Bestuursrecht, Belastingrecht
996, ECLI:NL:HR:2025:1603, Bestuursrecht, Belastingrecht
997, ECLI:NL:HR:2025:1612, Bestuursrecht, Belastingrecht
998, ECLI:NL:RBMNE:2025:5440, Civiel recht, Arbeidsrecht
999, ECLI:NL:RBAMS:2025:3366, Bestuursrecht, Belastingrecht
1000, ECLI:NL:GHSHE:2025:2591, Bestuursrecht, Belastingrecht
1001, ECLI:NL:GHSHE:2025:1365, Civiel recht, Insolventierecht
1002, ECLI:NL:HR:2011:BP2975, Bestuursrecht, Belastingrecht
1003, ECLI:NL:RBAMS:2021:7910, Civiel recht, Verbintenissenrecht
1004, ECLI:NL:RVS:2018:3620, Bestuursrecht, 
1005, ECLI:NL:CRVB:2023:2195, Bestuursrecht, Socialezekerheidsrecht
1006, ECLI:NL:RVS:2024:939, Bestuursrecht, 
1007, ECLI:NL:RVS:2019:3382, Bestuursrecht, 
1008, ECLI:NL:HR:2016:2228, Civiel recht, 
1009, ECLI:NL:GHSHE:2015:1106, Civiel recht, Arbeidsrecht
1010, ECLI:NL:HR:2018:1810, Civiel recht, 
1011, ECLI:NL:RVS:2025:5131, Bestuursrecht, Vreemdelingenrecht
1012, ECLI:NL:HR:2025:987, Strafrecht, 
1013, ECLI:NL:HR:2024:775, Bestuursrecht, Belastingrecht
1014, ECLI:NL:RBDHA:2025:18903, Bestuursrecht, Vreemdelingenrecht
1015, ECLI:NL:RVS:2024:4648, Bestuursrecht, Vreemdelingenrecht
1016, ECLI:NL:HR:2022:640, Bestuursrecht, Belastingrecht
1017, ECLI:NL:RBDHA:2025:15892, Bestuursrecht, Vreemdelingenrecht
1018, ECLI:NL:RVS:2023:1698, Bestuursrecht, 
1019, ECLI:NL:RVS:2025:4361, Bestuursrecht, Vreemdelingenrecht
1020, ECLI:NL:GHAMS:2025:475, Bestuursrecht, Belastingrecht
1021, ECLI:NL:HR:2013:1211, Bestuursrecht, Belastingrecht
1022, ECLI:NL:HR:2024:1178, Bestuursrecht, Belastingrecht
1023, ECLI:NL:RBDHA:2025:14408, Strafrecht, 
1024, ECLI:NL:HR:2012:BY2665, Bestuursrecht, Belastingrecht
1025, ECLI:NL:RVS:2022:3352, Bestuursrecht, Vreemdelingenrecht
1026, ECLI:NL:HR:2021:504, Bestuursrecht, Belastingrecht
1027, ECLI:NL:GHARL:2023:5143, Civiel recht, Personen- en familierecht
1028, ECLI:NL:RVS:2025:5171, Bestuursrecht, Vreemdelingenrecht
1029, ECLI:NL:RVS:2023:3298, Bestuursrecht, 
1030, ECLI:NL:HR:2011:BP6285, Bestuursrecht, Belastingrecht
1031, ECLI:NL:RVS:2024:570, Bestuursrecht, Vreemdelingenrecht
1032, ECLI:NL:RVS:2019:120, Bestuursrecht, Vreemdelingenrecht
1033, ECLI:NL:HR:1981:AG4158, Civiel recht, 
1034, ECLI:NL:RVS:2024:4296, Bestuursrecht, Vreemdelingenrecht
1035, ECLI:NL:RVS:2020:3139, Bestuursrecht, 
1036, ECLI:NL:HR:2008:BD3167, Bestuursrecht, Belastingrecht
1037, ECLI:NL:RVS:2015:674, Bestuursrecht, Vreemdelingenrecht
1038, ECLI:NL:RVS:2025:5170, Bestuursrecht, Vreemdelingenrecht
1039, ECLI:NL:RVS:2023:4118, Bestuursrecht, 
1040, ECLI:NL:GHAMS:2009:BK4981, Civiel recht, 
1041, ECLI:NL:HR:2020:563, Strafrecht, 
1042, ECLI:NL:HR:2024:704, Bestuursrecht, Belastingrecht
1043, ECLI:NL:CRVB:2020:559, Bestuursrecht, Socialezekerheidsrecht
1044, ECLI:NL:HR:2016:1129, Bestuursrecht, Belastingrecht
1045, ECLI:NL:RBROT:2025:8380, Bestuursrecht, Bestuursprocesrecht
1046, ECLI:NL:HR:2021:227, Civiel recht, 
1047, ECLI:NL:HR:2025:1435, Internationaal publiekrecht, 
1048, ECLI:NL:HR:2018:1312, Bestuursrecht, Belastingrecht
1049, ECLI:NL:RVS:2019:665, Bestuursrecht, Vreemdelingenrecht
1050, ECLI:NL:RVS:2024:777, Bestuursrecht, Vreemdelingenrecht
1051, ECLI:NL:HR:1996:ZC2052, Civiel recht, 
1052, ECLI:NL:HR:1996:AA2004, Bestuursrecht, Belastingrecht
1053, ECLI:NL:RBAMS:2022:7937, Strafrecht, Europees strafrecht
1054, ECLI:NL:RBOVE:2024:6748, Bestuursrecht, Vreemdelingenrecht
1055, ECLI:NL:OGHACMB:2022:2, Bestuursrecht, 
1056, ECLI:NL:RBDHA:2025:10057, Bestuursrecht, Vreemdelingenrecht
1057, ECLI:NL:GHARL:2025:2112, Strafrecht, 
1058, ECLI:NL:HR:1992:ZC0729, Civiel recht, 
1059, ECLI:NL:HR:1994:ZC1561, Civiel recht, 
1060, ECLI:NL:CRVB:2023:985, Bestuursrecht, Socialezekerheidsrecht
1061, ECLI:NL:CRVB:2010:BN3307, Bestuursrecht, Socialezekerheidsrecht
1062, ECLI:NL:RVS:2021:2044, Bestuursrecht, Vreemdelingenrecht
1063, ECLI:NL:RBOBR:2021:1809, Bestuursrecht, Vreemdelingenrecht
1064, ECLI:NL:RBOVE:2025:3134, Civiel recht, 
1065, ECLI:NL:RVS:2022:1910, Bestuursrecht, 
1066, ECLI:NL:HR:2005:AU4300, Bestuursrecht, Belastingrecht
1067, ECLI:NL:GHAMS:2022:3789, Bestuursrecht, Belastingrecht
1068, ECLI:NL:RVS:2025:875, Bestuursrecht, 
1069, ECLI:NL:RVS:2024:4865, Bestuursrecht, 
1070, ECLI:NL:GHARL:2018:6402, Bestuursrecht, Bestuursstrafrecht
1071, ECLI:NL:RVS:2017:1434, Bestuursrecht, Omgevingsrecht
1072, ECLI:NL:GHARL:2022:9934, Strafrecht, Strafprocesrecht
1073, ECLI:NL:RVS:2025:678, Bestuursrecht, 
1074, ECLI:NL:RBDHA:2025:4659, Bestuursrecht, Vreemdelingenrecht
1075, ECLI:NL:GHARL:2021:1786, Bestuursrecht, Bestuursstrafrecht
1076, ECLI:NL:GHARL:2016:4501, Civiel recht, Personen- en familierecht
1077, ECLI:NL:HR:2022:752, Bestuursrecht, Belastingrecht
1078, ECLI:NL:RBAMS:2024:3311, Strafrecht, Europees strafrecht
1079, ECLI:NL:GHSHE:2022:1818, Bestuursrecht, Belastingrecht
1080, ECLI:NL:HR:2018:313, Civiel recht, 
1081, ECLI:NL:RVS:2019:2912, Bestuursrecht, 
1082, ECLI:NL:HR:1994:ZC5609, Bestuursrecht, Belastingrecht
1083, ECLI:NL:RVS:2025:157, Bestuursrecht, Vreemdelingenrecht
1084, ECLI:NL:RVS:2018:320, Bestuursrecht, Omgevingsrecht
1085, ECLI:NL:HR:2012:BV0663, Bestuursrecht, Belastingrecht
1086, ECLI:NL:CRVB:2025:613, Bestuursrecht, Socialezekerheidsrecht
1087, ECLI:NL:CRVB:2016:3501, Bestuursrecht, Socialezekerheidsrecht
1088, ECLI:NL:RBZWB:2023:8339, Bestuursrecht, Socialezekerheidsrecht
1089, ECLI:NL:GHDHA:2025:220, Bestuursrecht, Belastingrecht
1090, ECLI:NL:RVS:2025:2936, Bestuursrecht, Vreemdelingenrecht
1091, ECLI:NL:HR:2018:1414, Civiel recht, Personen- en familierecht
1092, ECLI:NL:RVS:2025:2349, Bestuursrecht, Vreemdelingenrecht
1093, ECLI:NL:GHSHE:2024:2940, Bestuursrecht, Belastingrecht
1094, ECLI:NL:HR:2024:857, Bestuursrecht, Belastingrecht
1095, ECLI:NL:CRVB:2022:2461, Bestuursrecht, Socialezekerheidsrecht
1096, ECLI:NL:RVS:2015:739, Bestuursrecht, Vreemdelingenrecht
1097, ECLI:NL:RVS:2017:3514, Bestuursrecht, 
1098, ECLI:NL:RVS:2024:1796, Bestuursrecht, Vreemdelingenrecht
1099, ECLI:NL:OGHACMB:2024:14, Bestuursrecht, 
1100, ECLI:NL:HR:2015:1083, Bestuursrecht, Belastingrecht
1101, ECLI:NL:RVS:2025:2177, Bestuursrecht, 
1102, ECLI:NL:RVS:2025:3690, Bestuursrecht, 
1103, ECLI:NL:HR:2014:525, Civiel recht, 
1104, ECLI:NL:HR:2025:667, Civiel recht, Burgerlijk procesrecht
1105, ECLI:NL:RVS:2023:1393, Bestuursrecht, Vreemdelingenrecht
1106, ECLI:NL:RVS:2025:1032, Bestuursrecht, 
1107, ECLI:NL:RVS:2018:1416, Bestuursrecht, Vreemdelingenrecht
1108, ECLI:NL:RVS:2021:1405, Bestuursrecht, 
1109, ECLI:NL:HR:2013:963, Strafrecht, 
1110, ECLI:NL:PHR:2017:1414, Bestuursrecht, Belastingrecht
1111, ECLI:NL:HR:2024:1724, Civiel recht, 
1112, ECLI:NL:RVS:2017:967, Bestuursrecht, Omgevingsrecht
1113, ECLI:NL:RBSGR:1996:AL8932, Bestuursrecht, Omgevingsrecht
1114, ECLI:NL:RVS:2025:5220, Bestuursrecht, Vreemdelingenrecht
1115, ECLI:NL:OGEAA:2021:646, Bestuursrecht, 
1116, ECLI:NL:RVS:2023:3300, Bestuursrecht, Omgevingsrecht
1117, ECLI:NL:CRVB:2012:BV1028, Bestuursrecht, Socialezekerheidsrecht
1118, ECLI:NL:RVS:2016:2840, Bestuursrecht, 
1119, ECLI:NL:RBDHA:2025:10278, Bestuursrecht, Vreemdelingenrecht
1120, ECLI:NL:RVS:2022:2341, Bestuursrecht, Vreemdelingenrecht
1121, ECLI:NL:CRVB:2025:1068, Bestuursrecht, Socialezekerheidsrecht
1122, ECLI:NL:OGHACMB:2017:64, Bestuursrecht, 
1123, ECLI:NL:RVS:2021:953, Bestuursrecht, Omgevingsrecht
1124, ECLI:NL:RVS:2024:747, Bestuursrecht, Vreemdelingenrecht
1125, ECLI:NL:RVS:2025:1035, Bestuursrecht, 
1126, ECLI:NL:HR:2020:154, Bestuursrecht, Belastingrecht
1127, ECLI:NL:GHAMS:2009:BJ1298, Bestuursrecht, Belastingrecht
1128, ECLI:NL:HR:2005:AS4167, Civiel recht, 
1129, ECLI:NL:HR:2018:2358, Bestuursrecht, Belastingrecht
1130, ECLI:NL:HR:2024:1060, Bestuursrecht, Belastingrecht
1131, ECLI:NL:CRVB:2024:2194, Bestuursrecht, Socialezekerheidsrecht
1132, ECLI:NL:CRVB:2024:2195, Bestuursrecht, Socialezekerheidsrecht
1133, ECLI:NL:HR:2009:BG8790, Civiel recht, Ondernemingsrecht
1134, ECLI:NL:GHARL:2020:2320, Bestuursrecht, Bestuursstrafrecht
1135, ECLI:NL:RVS:2020:2069, Bestuursrecht, Vreemdelingenrecht
1136, ECLI:NL:HR:2021:1660, Bestuursrecht, Belastingrecht
1137, ECLI:NL:HR:2000:AA6341, Civiel recht, Personen- en familierecht
1138, ECLI:NL:HR:1987:AG5500, Civiel recht, 
1139, ECLI:NL:HR:2024:853, Bestuursrecht, Belastingrecht
1140, ECLI:NL:HR:1996:AA1935, Bestuursrecht, Belastingrecht
1141, ECLI:NL:HR:2000:AA8610, Bestuursrecht, Belastingrecht
1142, ECLI:NL:CRVB:2015:2446, Bestuursrecht, Ambtenarenrecht
1143, ECLI:NL:RBGEL:2019:1211, Bestuursrecht, Socialezekerheidsrecht
1144, ECLI:NL:CRVB:2024:2321, Bestuursrecht, Socialezekerheidsrecht
1145, ECLI:NL:HR:2019:130, Strafrecht, 
1146, ECLI:NL:RVS:2020:1624, Bestuursrecht, Vreemdelingenrecht
1147, ECLI:NL:RVS:2017:917, Bestuursrecht, 
1148, ECLI:NL:GHDHA:2024:754, Bestuursrecht, Belastingrecht
1149, ECLI:NL:GHARL:2023:3449, Bestuursrecht, Belastingrecht
1150, ECLI:NL:RVS:2020:260, Bestuursrecht, 
1151, ECLI:NL:RVS:2021:774, Bestuursrecht, 
1152, ECLI:NL:RVS:2013:2057, Bestuursrecht, Vreemdelingenrecht
1153, ECLI:NL:CRVB:2021:1786, Bestuursrecht, Socialezekerheidsrecht
1154, ECLI:NL:HR:2017:404, Civiel recht, 
1155, ECLI:NL:GHDHA:2025:1016, Civiel recht, 
1156, ECLI:NL:RVS:2025:2178, Bestuursrecht, 
1157, ECLI:NL:CRVB:2025:602, Bestuursrecht, Socialezekerheidsrecht
1158, ECLI:NL:HR:2014:1089, Civiel recht, 
1159, ECLI:NL:RVS:2009:BK7970, Bestuursrecht, 
1160, ECLI:NL:HR:2023:970, Civiel recht, Burgerlijk procesrecht
1161, ECLI:NL:GHARL:2022:2169, Civiel recht, 
1162, ECLI:NL:GHDHA:2017:4016, Bestuursrecht, Belastingrecht
1163, ECLI:NL:RVS:2024:5000, Bestuursrecht, 
1164, ECLI:NL:GHARL:2025:684, Civiel recht, 
1165, ECLI:NL:HR:2020:700, Bestuursrecht, Belastingrecht
1166, ECLI:NL:RBLIM:2025:2895, Bestuursrecht, Vreemdelingenrecht
1167, ECLI:NL:RBROT:2023:11160, Bestuursrecht, Bestuursstrafrecht
1168, ECLI:NL:RBDHA:2025:3872, Bestuursrecht, Vreemdelingenrecht
1169, ECLI:NL:HR:2016:2842, Strafrecht, 
1170, ECLI:NL:OGEAA:2024:195, Bestuursrecht, 
1171, ECLI:NL:GHAMS:2024:2670, Bestuursrecht, Belastingrecht
1172, ECLI:NL:HR:2005:AO9006, Bestuursrecht, Belastingrecht
1173, ECLI:NL:PHR:2021:917, Civiel recht, 
1174, ECLI:NL:RBAMS:2022:7536, Strafrecht, Europees strafrecht
1175, ECLI:NL:RVS:2025:1829, Bestuursrecht, Vreemdelingenrecht
1176, ECLI:NL:HR:2022:1128, Bestuursrecht, Belastingrecht
1177, ECLI:NL:HR:2018:2363, Civiel recht, 
1178, ECLI:NL:CBB:2024:190, Bestuursrecht, 
1179, ECLI:NL:GHSHE:2015:601, Civiel recht, 
1180, ECLI:NL:GHARL:2021:4778, Bestuursrecht, Bestuursstrafrecht
1181, ECLI:NL:HR:2022:89, Bestuursrecht, Belastingrecht
1182, ECLI:NL:HR:2008:BC2837, Civiel recht, 
1183, ECLI:NL:RVS:2022:129, Bestuursrecht, 
1184, ECLI:NL:GHARL:2020:8301, Bestuursrecht, Bestuursstrafrecht
1185, ECLI:NL:PHR:2015:2320, Strafrecht, 
1186, ECLI:NL:RVS:2019:1215, Bestuursrecht, Omgevingsrecht
1187, ECLI:NL:RBDHA:2025:9087, Bestuursrecht, Vreemdelingenrecht
1188, ECLI:NL:RBDHA:2025:17979, Bestuursrecht, Vreemdelingenrecht
1189, ECLI:NL:HR:2025:619, Bestuursrecht, Belastingrecht
1190, ECLI:NL:RVS:2025:3956, Bestuursrecht, 
1191, ECLI:NL:RBDHA:2025:5451, Bestuursrecht, Socialezekerheidsrecht
1192, ECLI:NL:RBDHA:2024:7597, Bestuursrecht, Vreemdelingenrecht
1193, ECLI:NL:GHARL:2018:10268, Bestuursrecht, Belastingrecht
1194, ECLI:NL:HR:2008:BC1593, Bestuursrecht, Belastingrecht
1195, ECLI:NL:HR:2017:675, Bestuursrecht, Belastingrecht
1196, ECLI:NL:RVS:2025:1030, Bestuursrecht, 
1197, ECLI:NL:GHARL:2024:4251, Strafrecht, Strafprocesrecht
1198, ECLI:NL:RBAMS:2025:5751, Strafrecht, Europees strafrecht
1199, ECLI:NL:HR:2025:1138, Civiel recht, Personen- en familierecht
1200, ECLI:NL:RVS:2023:2138, Bestuursrecht, Vreemdelingenrecht
1201, ECLI:NL:RBDHA:2022:2641, Bestuursrecht, Vreemdelingenrecht
1202, ECLI:NL:GHSHE:2018:2713, Bestuursrecht, Belastingrecht
1203, ECLI:NL:RVS:2024:825, Bestuursrecht, 
1204, ECLI:NL:RBDHA:2024:7937, Bestuursrecht, Vreemdelingenrecht
1205, ECLI:NL:GHDHA:2022:2158, Civiel recht, Personen- en familierecht
1206, ECLI:NL:HR:2017:565, Civiel recht, 
1207, ECLI:NL:GHARL:2025:2113, Strafrecht, 
1208, ECLI:NL:RVS:2024:2644, Bestuursrecht, Vreemdelingenrecht
1209, ECLI:NL:GHDHA:2025:1978, Civiel recht, Insolventierecht
1210, ECLI:NL:GHDHA:2020:2116, Civiel recht, Personen- en familierecht
1211, ECLI:NL:CBB:2015:42, Bestuursrecht, 
1212, ECLI:NL:RVS:2021:1155, Bestuursrecht, Vreemdelingenrecht
1213, ECLI:NL:RVS:2021:2623, Bestuursrecht, 
1214, ECLI:NL:RVS:2004:AO7467, Bestuursrecht, 
1215, ECLI:NL:RVS:2025:2200, Bestuursrecht, 
1216, ECLI:NL:RVS:2022:835, Bestuursrecht, 
1217, ECLI:NL:RVS:2020:42, Bestuursrecht, Vreemdelingenrecht
1218, ECLI:NL:RVS:2024:2643, Bestuursrecht, Vreemdelingenrecht
1219, ECLI:NL:HR:2018:511, Bestuursrecht, Belastingrecht
1220, ECLI:NL:CRVB:2023:1386, Bestuursrecht, Socialezekerheidsrecht
1221, ECLI:NL:GHARL:2025:253, Bestuursrecht, Bestuursstrafrecht
1222, ECLI:NL:GHARL:2021:936, Bestuursrecht, Belastingrecht
1223, ECLI:NL:HR:2020:1, Bestuursrecht, Belastingrecht
1224, ECLI:NL:HR:2016:1271, Civiel recht, 
1225, ECLI:NL:HR:2019:376, Civiel recht, 
1226, ECLI:NL:CRVB:2019:2869, Bestuursrecht, Socialezekerheidsrecht
1227, ECLI:NL:RVS:2025:1301, Bestuursrecht, 
1228, ECLI:NL:RVS:2021:325, Bestuursrecht, 
1229, ECLI:NL:HR:1983:AC2816, Bestuursrecht, 
1230, ECLI:NL:HR:2025:1382, Bestuursrecht, Belastingrecht
1231, ECLI:NL:HR:1980:AW9884, Bestuursrecht, Belastingrecht
1232, ECLI:NL:HR:2017:185, Bestuursrecht, Belastingrecht
1233, ECLI:NL:RVS:2023:913, Bestuursrecht, 
1234, ECLI:NL:HR:2020:1069, Bestuursrecht, Belastingrecht
1235, ECLI:NL:CBB:2024:33, Bestuursrecht, 
1236, ECLI:NL:HR:2024:1370, Civiel recht, Burgerlijk procesrecht
1237, ECLI:NL:RVS:2022:285, Bestuursrecht, 
1238, ECLI:NL:CRVB:2024:2192, Bestuursrecht, Socialezekerheidsrecht
1239, ECLI:NL:GHARL:2023:6787, Bestuursrecht, Bestuursstrafrecht
1240, ECLI:NL:RBDHA:2025:3440, Bestuursrecht, Vreemdelingenrecht
1241, ECLI:NL:HR:2006:AV0401, Bestuursrecht, Belastingrecht
1242, ECLI:NL:HR:2016:49, Civiel recht, 
1243, ECLI:NL:HR:1987:AD0058, Civiel recht, 
1244, ECLI:NL:RBLIM:2013:BZ9966, Bestuursrecht, 
1245, ECLI:NL:RBDHA:2025:19325, Bestuursrecht, Vreemdelingenrecht
1246, ECLI:NL:RBMNE:2025:41, Bestuursrecht, 
1247, ECLI:NL:RVS:2012:BV8770, Bestuursrecht, 
1248, ECLI:NL:HR:2002:AE3437, Civiel recht, 
1249, ECLI:NL:GHARL:2025:5863, Strafrecht, Strafprocesrecht
1250, ECLI:NL:CRVB:2012:BV2512, Bestuursrecht, Socialezekerheidsrecht
1251, ECLI:NL:RBDHA:2024:11549, Civiel recht, 
1252, ECLI:NL:GHARL:2020:6722, Bestuursrecht, Bestuursstrafrecht
1253, ECLI:NL:GHARL:2025:689, Civiel recht, 
1254, ECLI:NL:HR:2010:BJ9082, Bestuursrecht, Belastingrecht
1255, ECLI:NL:RBDHA:2023:3590, Bestuursrecht, Vreemdelingenrecht
1256, ECLI:NL:HR:2013:BZ3643, Civiel recht, 
1257, ECLI:NL:RVS:2000:AA6723, Bestuursrecht, Omgevingsrecht
1258, ECLI:NL:GHARL:2015:7059, Bestuursrecht, Belastingrecht
1259, ECLI:NL:GHAMS:2023:1451, Civiel recht, Personen- en familierecht
1260, ECLI:NL:GHARL:2024:3805, Bestuursrecht, Bestuursstrafrecht
1261, ECLI:NL:RVS:2024:844, Bestuursrecht, 
1262, ECLI:NL:HR:2013:BY8101, Civiel recht, 
1263, ECLI:NL:RVS:2022:3353, Bestuursrecht, Vreemdelingenrecht
1264, ECLI:NL:HR:2021:1600, Civiel recht, 
1265, ECLI:NL:GHARL:2022:7503, Bestuursrecht, Belastingrecht
1266, ECLI:NL:RVS:2025:1118, Bestuursrecht, Vreemdelingenrecht
1267, ECLI:NL:HR:2024:1729, Strafrecht, 
1268, ECLI:NL:HR:2006:AW4064, Bestuursrecht, Belastingrecht
1269, ECLI:NL:HR:2001:ZC3603, Civiel recht, Personen- en familierecht
1270, ECLI:NL:RBZWB:2024:9009, Bestuursrecht, Bestuursprocesrecht
1271, ECLI:NL:GHAMS:2024:1648, Bestuursrecht, Belastingrecht
1272, ECLI:NL:HR:2011:BP8053, Bestuursrecht, Belastingrecht
1273, ECLI:NL:RVS:2017:2883, Bestuursrecht, 
1274, ECLI:NL:RVS:2018:3861, Bestuursrecht, Omgevingsrecht
1275, ECLI:NL:RVS:2017:1744, Bestuursrecht, Vreemdelingenrecht
1276, ECLI:NL:HR:2020:317, Bestuursrecht, Belastingrecht
1277, ECLI:NL:HR:2018:1311, Bestuursrecht, Belastingrecht
1278, ECLI:NL:RVS:2022:1918, Bestuursrecht, Vreemdelingenrecht
1279, ECLI:NL:HR:2010:BM9132, Strafrecht, 
1280, ECLI:NL:RVS:2021:1286, Bestuursrecht, 
1281, ECLI:NL:HR:2014:8, Bestuursrecht, Belastingrecht
1282, ECLI:NL:TGZCTG:2024:42, Bestuursrecht, Belastingrecht
1283, ECLI:NL:OGHACMB:2024:220, Civiel recht, 
1284, ECLI:NL:RVS:2023:155, Bestuursrecht, 
1285, ECLI:NL:RVS:2015:483, Bestuursrecht, Vreemdelingenrecht
1286, ECLI:NL:GHARL:2025:89, Bestuursrecht, Bestuursstrafrecht
1287, ECLI:NL:RVS:2019:673, Bestuursrecht, 
1288, ECLI:NL:RBDHA:2025:2327, Bestuursrecht, Vreemdelingenrecht
1289, ECLI:NL:OGHACMB:2024:161, Civiel recht, 
1290, ECLI:NL:RBLIM:2021:7942, Strafrecht, 
1291, ECLI:NL:RBROT:2024:8308, Bestuursrecht, 
1292, ECLI:NL:RVS:2015:1309, Bestuursrecht, Vreemdelingenrecht
1293, ECLI:NL:RVS:2024:2323, Bestuursrecht, 
1294, ECLI:NL:RBDHA:2024:7602, Bestuursrecht, Vreemdelingenrecht
1295, ECLI:NL:CRVB:2023:2127, Bestuursrecht, Socialezekerheidsrecht
1296, ECLI:NL:HR:2012:BW9230, Civiel recht, 
1297, ECLI:NL:CRVB:2014:2592, Bestuursrecht, Ambtenarenrecht
1298, ECLI:NL:RVS:2025:3344, Bestuursrecht, Vreemdelingenrecht
1299, ECLI:NL:RVS:2006:AV1771, Bestuursrecht, 
1300, ECLI:NL:RBZWB:2024:9008, Bestuursrecht, Bestuursprocesrecht
1301, ECLI:NL:RBZWB:2023:8022, Bestuursrecht, 
1302, ECLI:NL:HR:1986:AC9402, Bestuursrecht, 
1303, ECLI:NL:RVS:2025:467, Bestuursrecht, 
1304, ECLI:NL:RBDHA:2025:2966, Bestuursrecht, Socialezekerheidsrecht
1305, ECLI:NL:HR:2025:160, Bestuursrecht, Belastingrecht
1306, ECLI:NL:HR:2002:AD6867, Bestuursrecht, Belastingrecht
1307, ECLI:NL:CRVB:2025:171, Bestuursrecht, Socialezekerheidsrecht
1308, ECLI:NL:GHSHE:2025:671, Civiel recht, Insolventierecht
1309, ECLI:NL:HR:2024:1918, Bestuursrecht, Belastingrecht
1310, ECLI:NL:CRVB:2024:326, Bestuursrecht, Ambtenarenrecht
1311, ECLI:NL:RVS:2011:BQ2684, Bestuursrecht, 
1312, ECLI:NL:GHDHA:2025:207, Bestuursrecht, Belastingrecht
1313, ECLI:NL:GHSHE:2011:BV2713, Bestuursrecht, Belastingrecht
1314, ECLI:NL:RVS:2025:1836, Bestuursrecht, Vreemdelingenrecht
1315, ECLI:NL:HR:1982:AC0442, Bestuursrecht, Vreemdelingenrecht
1316, ECLI:NL:HR:2021:1513, Civiel recht, Personen- en familierecht
1317, ECLI:NL:RVS:2024:32, Bestuursrecht, Vreemdelingenrecht
1318, ECLI:NL:RVS:2022:1120, Bestuursrecht, Vreemdelingenrecht
1319, ECLI:NL:HR:2025:1268, Civiel recht, Personen- en familierecht
1320, ECLI:NL:HR:2006:AZ4416, Bestuursrecht, Belastingrecht
1321, ECLI:NL:HR:2019:1783, Bestuursrecht, Belastingrecht
