id, ECLI, rechtbank, rechtsgebied, subrechtsgebied
117, ECLI:NL:CRVB:2012:BV1028, Bestuursrecht, Socialezekerheidsrecht
118, ECLI:NL:RVS:2016:2840, Bestuursrecht, 
119, ECLI:NL:RBDHA:2025:10278, Bestuursrecht, Vreemdelingenrecht
120, ECLI:NL:RVS:2022:2341, Bestuursrecht, Vreemdelingenrecht
121, ECLI:NL:CRVB:2025:1068, Bestuursrecht, Socialezekerheidsrecht
122, ECLI:NL:OGHACMB:2017:64, Bestuursrecht, 
123, ECLI:NL:RVS:2021:953, Bestuursrecht, Omgevingsrecht
124, ECLI:NL:RVS:2024:747, Bestuursrecht, Vreemdelingenrecht
125, ECLI:NL:RVS:2025:1035, Bestuursrecht, 
126, ECLI:NL:HR:2020:154, Bestuursrecht, Belastingrecht
127, ECLI:NL:GHAMS:2009:BJ1298, Bestuursrecht, Belastingrecht
128, ECLI:NL:HR:2005:AS4167, Civiel recht, 
129, ECLI:NL:HR:2018:2358, Bestuursrecht, Belastingrecht
130, ECLI:NL:HR:2024:1060, Bestuursrecht, Belastingrecht
131, ECLI:NL:CRVB:2024:2194, Bestuursrecht, Socialezekerheidsrecht
132, ECLI:NL:CRVB:2024:2195, Bestuursrecht, Socialezekerheidsrecht
133, ECLI:NL:HR:2009:BG8790, Civiel recht, Ondernemingsrecht
134, ECLI:NL:GHARL:2020:2320, Bestuursrecht, Bestuursstrafrecht
135, ECLI:NL:RVS:2020:2069, Bestuursrecht, Vreemdelingenrecht
136, ECLI:NL:HR:2021:1660, Bestuursrecht, Belastingrecht
137, ECLI:NL:HR:2000:AA6341, Civiel recht, Personen- en familierecht
138, ECLI:NL:HR:1987:AG5500, Civiel recht, 
139, ECLI:NL:HR:2024:853, Bestuursrecht, Belastingrecht
140, ECLI:NL:HR:1996:AA1935, Bestuursrecht, Belastingrecht
141, ECLI:NL:HR:2000:AA8610, Bestuursrecht, Belastingrecht
142, ECLI:NL:CRVB:2015:2446, Bestuursrecht, Ambtenarenrecht
143, ECLI:NL:RBGEL:2019:1211, Bestuursrecht, Socialezekerheidsrecht
144, ECLI:NL:CRVB:2024:2321, Bestuursrecht, Socialezekerheidsrecht
145, ECLI:NL:HR:2019:130, Strafrecht, 
146, ECLI:NL:RVS:2020:1624, Bestuursrecht, Vreemdelingenrecht
147, ECLI:NL:RVS:2017:917, Bestuursrecht, 
148, ECLI:NL:GHDHA:2024:754, Bestuursrecht, Belastingrecht
149, ECLI:NL:GHARL:2023:3449, Bestuursrecht, Belastingrecht
150, ECLI:NL:RVS:2020:260, Bestuursrecht, 
151, ECLI:NL:RVS:2021:774, Bestuursrecht, 
152, ECLI:NL:RVS:2013:2057, Bestuursrecht, Vreemdelingenrecht
153, ECLI:NL:CRVB:2021:1786, Bestuursrecht, Socialezekerheidsrecht
154, ECLI:NL:HR:2017:404, Civiel recht, 
155, ECLI:NL:GHDHA:2025:1016, Civiel recht, 
156, ECLI:NL:RVS:2025:2178, Bestuursrecht, 
157, ECLI:NL:CRVB:2025:602, Bestuursrecht, Socialezekerheidsrecht
158, ECLI:NL:HR:2014:1089, Civiel recht, 
159, ECLI:NL:RVS:2009:BK7970, Bestuursrecht, 
160, ECLI:NL:HR:2023:970, Civiel recht, Burgerlijk procesrecht
161, ECLI:NL:GHARL:2022:2169, Civiel recht, 
162, ECLI:NL:GHDHA:2017:4016, Bestuursrecht, Belastingrecht
163, ECLI:NL:RVS:2024:5000, Bestuursrecht, 
164, ECLI:NL:GHARL:2025:684, Civiel recht, 
165, ECLI:NL:HR:2020:700, Bestuursrecht, Belastingrecht
166, ECLI:NL:RBLIM:2025:2895, Bestuursrecht, Vreemdelingenrecht
167, ECLI:NL:RBROT:2023:11160, Bestuursrecht, Bestuursstrafrecht
168, ECLI:NL:RBDHA:2025:3872, Bestuursrecht, Vreemdelingenrecht
169, ECLI:NL:HR:2016:2842, Strafrecht, 
170, ECLI:NL:OGEAA:2024:195, Bestuursrecht, 
171, ECLI:NL:GHAMS:2024:2670, Bestuursrecht, Belastingrecht
172, ECLI:NL:HR:2005:AO9006, Bestuursrecht, Belastingrecht
173, ECLI:NL:PHR:2021:917, Civiel recht, 
174, ECLI:NL:RBAMS:2022:7536, Strafrecht, Europees strafrecht
175, ECLI:NL:RVS:2025:1829, Bestuursrecht, Vreemdelingenrecht
176, ECLI:NL:HR:2022:1128, Bestuursrecht, Belastingrecht
177, ECLI:NL:HR:2018:2363, Civiel recht, 
178, ECLI:NL:CBB:2024:190, Bestuursrecht, 
179, ECLI:NL:GHSHE:2015:601, Civiel recht, 
180, ECLI:NL:GHARL:2021:4778, Bestuursrecht, Bestuursstrafrecht
181, ECLI:NL:HR:2022:89, Bestuursrecht, Belastingrecht
182, ECLI:NL:HR:2008:BC2837, Civiel recht, 
183, ECLI:NL:RVS:2022:129, Bestuursrecht, 
184, ECLI:NL:GHARL:2020:8301, Bestuursrecht, Bestuursstrafrecht
185, ECLI:NL:PHR:2015:2320, Strafrecht, 
186, ECLI:NL:RVS:2019:1215, Bestuursrecht, Omgevingsrecht
187, ECLI:NL:RBDHA:2025:9087, Bestuursrecht, Vreemdelingenrecht
188, ECLI:NL:RBDHA:2025:17979, Bestuursrecht, Vreemdelingenrecht
189, ECLI:NL:HR:2025:619, Bestuursrecht, Belastingrecht
190, ECLI:NL:RVS:2025:3956, Bestuursrecht, 
